title,rating,netflix_year,family_friendly,age,titleType,startYear,endYear,runtimeMinutes,genres,IMDb Rating,numVotes
Revenge,TV-PG,2015,1,teen,tvMiniSeries,2015,2015,,Action,,
Rosewood,TV-14,2015,1,teen,tvSeries,2015,2017,42,"Crime,Drama,Mystery",6.8,9957.0
Cooper Barrett's Guide to Surviving Life,TV-14,2016,1,teen,tvSeries,2016,2016,,Comedy,6.3,1705.0
Abstract: The Art of Design,TV-14,2017,1,teen,tvSeries,2017,2019,45,Documentary,8.3,6243.0
Master of None,TV-MA,2015,0,adult,tvSeries,2015,2021,30,"Comedy,Drama",8.2,78870.0
Flaked,TV-MA,2016,0,adult,tvSeries,2016,2017,30,"Comedy,Drama,Romance",7.2,13151.0
Hap and Leonard,TV-MA,2016,0,adult,tvSeries,2016,2018,60,"Crime,Drama,Mystery",7.6,8782.0
Aquarius,TV-MA,2015,0,adult,tvSeries,2015,2016,42,"Biography,Crime,Drama",7.0,14147.0
American Odyssey,TV-14,2015,1,teen,tvSeries,2015,2015,60,"Action,Drama,Thriller",7.3,6447.0
Friends with Benefits,TV-14,2011,1,teen,tvSeries,2011,2011,21,Comedy,6.5,3573.0
Life in Pieces,TV-14,2015,1,teen,tvSeries,2015,2019,22,Comedy,8.0,19200.0
Don't Trust the B---- in Apartment 23,TV-14,2012,1,teen,tvSeries,2012,2013,22,Comedy,7.3,42743.0
Beyblade: Metal Fusion,TV-Y7,2009,1,kid,tvSeries,2009,2013,30,"Action,Animation,Family",6.9,3407.0
Ninja Turtles: The Next Mutation,TV-Y7-FV,1997,1,kid,tvSeries,1997,1998,20,"Action,Adventure,Comedy",4.3,1998.0
Ingobernable,TV-MA,2017,0,adult,tvSeries,2017,2018,40,"Crime,Drama,Mystery",7.0,3668.0
Stranger Things,TV-14,2016,1,teen,tvSeries,2016,2025,60,"Drama,Fantasy,Horror",8.6,1710487.0
Fuller House,TV-G,2016,1,kid,tvSeries,2016,2020,30,"Comedy,Drama,Family",6.7,31356.0
The OA,TV-MA,2016,0,adult,tvSeries,2016,2019,60,"Drama,Fantasy,Mystery",7.8,127613.0
LEGO Bionicle: The Journey to One,TV-Y7-FV,2016,1,kid,tvSeries,2016,2016,22,"Action,Adventure,Animation",5.3,287.0
Gilmore Girls: A Year in the Life,TV-14,2016,1,teen,tvMiniSeries,2016,2016,93,"Comedy,Drama",7.4,50315.0
The Honorable Woman,TV-MA,2014,0,adult,tvMiniSeries,2014,2014,58,"Drama,Thriller",7.9,12112.0
Bob the Builder,TV-Y,2015,1,kid,tvSeries,2015,2018,25,"Animation,Comedy,Family",2.4,394.0
Buddy Thunderstruck,TV-PG,2017,1,teen,tvSeries,2017,2017,24,"Action,Animation,Comedy",7.7,596.0
Easy,TV-MA,2016,0,adult,tvSeries,2016,2019,30,"Comedy,Drama",6.9,16239.0
No Tomorrow,TV-14,2016,1,teen,tvSeries,2016,2017,43,"Comedy,Drama,Romance",7.2,5544.0
The Super Mario Bros. Super Show!,TV-Y7,1989,1,kid,tvSeries,1989,1989,30,"Action,Adventure,Animation",6.3,5427.0
Power Rangers Zeo,TV-Y7-FV,1996,1,kid,tvSeries,1996,1997,21,"Action,Adventure,Family",6.5,3478.0
The Carrie Diaries,TV-14,2013,1,teen,tvSeries,2013,2014,42,"Comedy,Drama,Romance",7.0,29774.0
Life Unexpected,TV-PG,2010,1,teen,tvSeries,2010,2011,60,Drama,7.5,16035.0
Oscar's Oasis,TV-G,2011,1,kid,tvSeries,2011,2012,7,"Adventure,Animation,Comedy",7.2,1260.0
LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,2013,1,kid,tvMiniSeries,2013,2013,22,"Action,Adventure,Animation",6.3,1848.0
Greenleaf,TV-14,2016,1,teen,tvSeries,2016,2020,60,Drama,7.5,6611.0
Crazyhead,TV-MA,2016,0,adult,tvMiniSeries,2016,2016,44,"Comedy,Horror,Sci-Fi",7.2,5746.0
Slam,TV-MA,2017,0,adult,tvSeries,2017,2018,,Game-Show,,
